CONDITION_ID	PHENOTYPE_ID
10127	1586|2064|3145|5336|7455|7725|11027|11591|12133|12580|12603|12850|13693|14822|18210|18360|18649|19438|19545|19660
10128	1416|1439|11289|13231|13491|13734|16046|16119|17348
10129	8520|13628|15587|16085
1013	2589|3115|3795|3796|13005|13018|13101|13450|15360|16777|17008|17017|17022|17104|17110|18079|18157|18165|18168|18169|18296|21895
10130	8897|12759|13825
10131	3123|4130|8859|19590
10132	15743
10133	24|77|86|94|1476|2414|3902|5716|13334|16681|19816|19820|19926|19998|20004|20363|20366
10134	455|12167|16226
10135	12846
10136	5797
10137	12846
10138	12846
10139	19597
1014	1033|12272|12274|12303|12338|14420|15681|15906|17680
10140	12846
10141	15049|18921
10142	2331|13277|20075
10143	2331|13277|20075
10144	15359
10145	3123|7210|9028|11679|12527|13064|13277|13331|13354|13506|15804|15807|15911|15947|16136|16145|16437|16628|17019|17367|17369|17917|19588|19601|19609|19776|19778
10146	94|1544|11549|13332|13461|14246|14499|14538|16038|16049|18347|18348|18351|18404|18406|18981
10147	616|761|1238|1579|1585|3202|3494|9028|10796|11304|12272|12300|12634|13810|16108|16200|16961|16981|18395|18398|19359|19399|19532|19534|19589
10148	2331|13680
10149	597|12244|13364|13525|13560|13954|14549|14551|14553|15538|17414|18280
1015	1274|1425|11318|11748|12455|12463|12466|12469|12490|12634|14802|16206|19598|21483
10150	659|769|12861|13830|18556|19445|19599|20795
10151	973|1015|12167|12258|13207
10152	400|444|5260|12198
10153	1001|1223|1228|1276|1951|11335|11802|11832|12274|12533|12637|12859|13823|13826|19599
10154	12846
10155	106|1580|2421|3815|7776|8765|13902|17109
10156	12846
10157	2|91|105|3123|3902|8862|13334|13600|14471|16049|16435|18175|19868
10158	12846
10159	13414|13974|14537|15573|19596|19616|19686|21811
1016	120|12641|12653|15694|18294|21224
10160	425|12215|16570|16993|17058|17125|17128|17130|20524|21159
10161	425
10162	12274|13909|14133
10163	1033|11714|11752|11808|11810
10164	1001|1033|11157|12265|12364|13509|15820|18844
10165	290|12266|12364|13357|15715|20462
10166	1430|1990|6527|10587|11040|12720|17815|18884
10167	21159
10168	77|80|1478|2609|3902|11545|12774|13334|14250|15513|15579|15830|15838|16049|17032|17347|17394|18175|18180|19585
10169	613|698|699|2221|2244|2293|3123|3145|3982|4011|4275|5428|5797|6999|7725|7737|8502|9296|11341|11482|12052|12641|13270|13283|14244|14739|15528|15864|16508|17548|17609|19382|19467|19586
1017	613|697|1583|11254|11709|15159|16691|16820|19587|20742
10170	14350|17417
10171	12846
10172	681|7502
10173	12773
10174	12846
10175	117|290|667|1149|2276|9022
10176	12846
10177	444
10178	12846
10179	1073|1081|3122|11139|12274|13608
1018	613|715|1586|11254|11709|12944|13653|14492|15222|16691|16820|19587
10180	12245|12284
10181	15049
10182	1312|3122|11692
10183	597|14561|17680
10184	12028|19589
10185	11905
10186	1516|11697|14497|15559
10187	1430|1990|6527|10587|11040|12634|12774|17815|18884
10188	11894|15904
10189	7380|12827|15962
1019	11702|11703|12846|17414
10190	11701
10191	3798|3802|7639|12559|14407|15461|15625|16593
10192	11402|13084
10193	12682|12688|13298|13361|18247|18309
10194	972|1001|1364|1885|2373|2465|11714|12774|13909|14428|15313
10195	13788
10196	1069|1401|19598
10197	2611|12559|15622
10198	16211
10199	597|5797|7730|10926|11469|12167|12241|12245|12274|12278|12304|12310|12934|12940|13214|13422|13538|14218|14419|15018|15786|18422|18582|19590|19610
102	579|2414
1020	11738|11897|12324|13202|13204|13367|18469
10200	19586
10201	659|667|3122|13664
10202	973|4257|12827|14497|15497|15559|16619|16623
10203	13380|18283
10204	11523|19590
10205	19586
10206	12212|15911
10207	2087|2597|5542|8461|12193|12774|12838|13585|18639
10208	1196|2087|5260|11402|12152|13034|13089|15490
10209	12846
1021	780|1312|1425|7691|12167|12376|12719|13075|13434|13491|14287|15528|15532|16797|17313|18296|19381|19463|19586|19588|22233
10210	80|277|1592|1791|7623|8036|8112|11155|11689|12193|12900|12902|13602|13750|14861|14862|15363|15639|16163|16181|18055|19589|21434|21607|21848|21902|22158
10211	11911|12020|12022|12025|12029|14539|14540|14542|19585
10212	2390|14598|14777|16947
10213	8388|8898|11612|13030|13590|13746|14713|14741|15597|15824|16239|18081|19587
10214	425|14574|14575|17054|17058|17130
10215	425|14574|14575|17054|17058|17130
10216	94|769|1176|1306|12472|12634|13832|19591|19599|19609|20665
10217	12846
10218	6999|7716|11224|11227|11233|12167|13283|13996|15335|16513|19586
10219	13521|14596
1022	1516|1922|2029|2121|11517|12774|13034|13049|13050|13102|13140|13475|14781|14940|14964|15143|15293|15348|15360|15626|15959|16193|16665|16676|16678|16725|17038|17249|18017|18321|18323
10220	4815|13833|15743|18114|20629
10221	10336|10727|11575|12371|14698|19469
10222	14759|14760|14761|14762|14763
10223	5486|9028|12443|12463|12777|19598|21548
10224	26|629|17795|19734
10225	9296|12555
10226	9095|12357
10227	597|973|1015|1033|1829|1885|11241|11832|11905|12274|12364|15796|15907
10228	12846
10229	19591
1023	317|9022|11169|11408|11591|11858|11888|11911|11964|11979|11992|12028|12324|12759|12995|13475|13576|13643|13803|13806|14227|14485|14770|14845|14909|15293|15343|15427|16221|16383|16385|16601|16658|17029|17295|17499|20462
10230	13460
10231	745|15529|15533|15535|15550|18649|19376|19379|19464|21946|22234|22331
10232	12449|12453|12895|15258|17076|19592|19755|20628|20649|21514
10233	93|94|622|1306|2428|3123|3902|5797|12774|12802|16049
10234	18|26|629|1850|2369|2465|2687|3123|11887|12506|12640|12774|13402|13403|13406|13412|14695|15396|16038|16049|16104|17940|17950|18582|20030|20031|22526
10235	1312|1696|1697|2428|12774|13895|14440|18827|19592|21635
10236	19596
10237	14556|15693
10238	17415
10239	17415
1024	678|1237|1289|1451|1522|1627|1831|1915|2666|2726|3123|3648|7664|8640|9092|9295|11612|12235|12237|12244|12251|12290|12304|12324|12345|12364|12434|12620|12646|12774|12873|13332|13453|13460|13628|13668|14025|14132|14207|14290|14415|14419|14636|14770|15031|15042|15091|15420|15427|15437|15538|15669|15693|15804|15835|16055|16057|16067|16078|16187|16209|16686|16779|16939|17313|17320|17413|17501|17885|17887|17895|18282|18297|18635|18648|18679|18762|19284|19285|19381|20377|22516
10240	257|5260|8139|8152|11203|12203|13756
10241	973|1033|11714|12167|12279
10242	1023|1032|1033|2627|12167|12580
10243	973|1032|1885|2369|11828|11902|12357|14546|15820|17937
10244	12846
10245	12846
10246	15164
10247	1049|6627|11881|12774|14935|17804|20229|20582|20631|20650|21492
10248	1049|6627|11881|12774|14935|17804|20229|20582|20631|20650|21492
10249	1716|2763|8935|11741|16194
1025	2027|7782|8520|9295|11743|12529|12843|13306|13351|13482|13506|13511|13521|13557|13796|13999|14025|14283|14385|14545|14936|15326|15395|15526|15538|15692|15695|15807|15809|15842|15860|15912|16038|16088|16109|16145|16389|16431|16627|17082|17887|18158|18296|18341|20434
10250	368|14000|14238|15598
10251	12846
10252	1829|2687|11836|11888|11889|11993|15904|16231|17946|17950
10253	12406|14510|14556|15419|20238|21217
10254	12846
10255	7309|12220|13596|15761
10256	17308
10257	597|1001|11804|12364|16120|19589
10258	19609
10259	11289|12263|13231|13491|17283|17348|17349
1026	77|80|86|106|649|667|672|678|761|1235|1237|1247|1265|1476|1541|1586|1627|2314|3123|3145|3202|3902|5685|7664|8279|9239|11337|12052|12095|12098|12373|12381|12412|12489|12774|13312|13334|13377|13452|13630|13676|13788|13828|13949|14246|14382|14698|14703|14751|15301|15324|15550|15669|15693|16049|16070|16071|16078|16208|16288|16289|17268|17364|17409|18182|18297|18550|18618|18967|19069|19258|19317|19396|19586|19588|19794|19877|19892|19902|19926|19929|19940|19952|20006|20058
