GENE_ID	CONDITION_ID
ENSG00000023839	OMIM:237500
ENSG00000023909	OMIM:608446
ENSG00000025708	OMIM:603041
ENSG00000025796	OMIM:617004
ENSG00000026025	OMIM:116300
ENSG00000026103	OMIM:601859
ENSG00000026297	OMIM:612951
ENSG00000026508	OMIM:609027
ENSG00000027075	OMIM:601367
ENSG00000027697	OMIM:209950
ENSG00000027697	OMIM:600263
ENSG00000027697	OMIM:607948
ENSG00000027697	OMIM:610424
ENSG00000027697	OMIM:615978
ENSG00000027847	OMIM:130070
ENSG00000029534	OMIM:182900
ENSG00000029993	OMIM:300915
ENSG00000030304	OMIM:208150
ENSG00000030304	OMIM:616325
ENSG00000030582	OMIM:607485
ENSG00000030582	OMIM:614706
ENSG00000031081	OMIM:100300
ENSG00000031544	OMIM:268100
ENSG00000031544	OMIM:611131
ENSG00000032444	OMIM:215470
ENSG00000032444	OMIM:245800
ENSG00000032444	OMIM:275400
ENSG00000032444	OMIM:612020
ENSG00000033011	OMIM:608540
ENSG00000034693	OMIM:614882
ENSG00000034971	OMIM:137750
ENSG00000034971	OMIM:231300
ENSG00000035403	OMIM:611407
ENSG00000035403	OMIM:613255
ENSG00000036257	OMIM:614496
ENSG00000036473	OMIM:311250
ENSG00000036828	OMIM:145980
ENSG00000036828	OMIM:239200
ENSG00000036828	OMIM:601198
ENSG00000036828	OMIM:612899
ENSG00000037280	OMIM:153100
ENSG00000037280	OMIM:602089
ENSG00000037474	OMIM:611091
ENSG00000038002	OMIM:208400
ENSG00000038295	OMIM:613087
ENSG00000038382	OMIM:617061
ENSG00000038427	OMIM:143200
ENSG00000038945	OMIM:176807
ENSG00000038945	OMIM:614266
ENSG00000039068	OMIM:114480
ENSG00000039068	OMIM:137215
ENSG00000039068	OMIM:167000
ENSG00000039068	OMIM:176807
ENSG00000039068	OMIM:608089
ENSG00000039139	OMIM:244400
ENSG00000039139	OMIM:608644
ENSG00000039537	OMIM:612446
ENSG00000039650	OMIM:613402
ENSG00000039650	OMIM:616267
ENSG00000040531	OMIM:219750
ENSG00000040531	OMIM:219800
ENSG00000040531	OMIM:219900
ENSG00000040608	OMIM:181500
ENSG00000041982	OMIM:615629
ENSG00000042088	OMIM:607250
ENSG00000042317	OMIM:604232
ENSG00000042429	OMIM:613668
ENSG00000042753	OMIM:600740
ENSG00000042781	OMIM:268000
ENSG00000042781	OMIM:276901
ENSG00000042781	OMIM:613809
ENSG00000042832	OMIM:274700
ENSG00000042832	OMIM:608175
ENSG00000043355	OMIM:609637
ENSG00000043591	OMIM:607276
ENSG00000044090	OMIM:273750
ENSG00000044115	OMIM:608970
ENSG00000044446	OMIM:306000
ENSG00000046604	OMIM:610193
ENSG00000046604	OMIM:612877
ENSG00000046651	OMIM:300209
ENSG00000046651	OMIM:300424
ENSG00000046651	OMIM:300804
ENSG00000046651	OMIM:311200
ENSG00000047457	OMIM:604290
ENSG00000047578	OMIM:616784
ENSG00000047579	OMIM:614076
ENSG00000047597	OMIM:300842
ENSG00000048342	OMIM:213300
ENSG00000048342	OMIM:216360
ENSG00000048342	OMIM:612284
ENSG00000048342	OMIM:612285
ENSG00000048392	OMIM:612075
ENSG00000048392	OMIM:613077
ENSG00000048545	OMIM:602093
ENSG00000049089	OMIM:600204
ENSG00000049089	OMIM:603932
ENSG00000049089	OMIM:614284
ENSG00000049130	OMIM:145250
ENSG00000049130	OMIM:611664
ENSG00000049130	OMIM:616697
ENSG00000049167	OMIM:216400
ENSG00000049167	OMIM:614621
ENSG00000049239	OMIM:604931
ENSG00000049246	OMIM:616882
ENSG00000049319	OMIM:264600
ENSG00000049540	OMIM:123700
ENSG00000049540	OMIM:185500
ENSG00000049618	OMIM:135900
ENSG00000049768	OMIM:222100
ENSG00000049768	OMIM:304790
ENSG00000049860	OMIM:268800
ENSG00000050030	OMIM:300912
ENSG00000050555	OMIM:614115
ENSG00000051180	OMIM:114480
ENSG00000051180	OMIM:614508
ENSG00000051523	OMIM:233690
ENSG00000052802	OMIM:616834
ENSG00000052850	OMIM:609597
ENSG00000052850	OMIM:613451
ENSG00000052850	OMIM:615529
ENSG00000053747	OMIM:226650
ENSG00000053747	OMIM:226700
ENSG00000053747	OMIM:245660
ENSG00000053918	OMIM:115000
ENSG00000053918	OMIM:192500
ENSG00000053918	OMIM:220400
ENSG00000053918	OMIM:607554
ENSG00000053918	OMIM:609621
ENSG00000054523	OMIM:118210
ENSG00000054523	OMIM:171300
ENSG00000054523	OMIM:256700
ENSG00000054598	OMIM:601631
ENSG00000054598	OMIM:602482
ENSG00000054598	OMIM:604229
ENSG00000054654	OMIM:612999
ENSG00000054983	OMIM:245200
ENSG00000055118	OMIM:115000
ENSG00000055118	OMIM:609620
ENSG00000055118	OMIM:613688
ENSG00000055208	OMIM:614980
ENSG00000055955	OMIM:143890
ENSG00000056972	OMIM:614070
ENSG00000056972	OMIM:615527
ENSG00000057294	OMIM:609040
ENSG00000057593	OMIM:227500
ENSG00000057593	OMIM:608446
ENSG00000058085	OMIM:226650
ENSG00000058085	OMIM:226700
ENSG00000058262	OMIM:617056
ENSG00000059377	OMIM:231095
ENSG00000059573	OMIM:219150
ENSG00000059573	OMIM:601162
ENSG00000059573	OMIM:616586
ENSG00000059573	OMIM:616603
ENSG00000060069	OMIM:604168
ENSG00000060237	OMIM:201300
ENSG00000060237	OMIM:614492
ENSG00000060642	OMIM:239300
ENSG00000060718	OMIM:154780
ENSG00000060718	OMIM:228520
ENSG00000060718	OMIM:603932
ENSG00000060718	OMIM:604841
ENSG00000060762	OMIM:614741
ENSG00000061337	OMIM:133239
ENSG00000061455	OMIM:617039
ENSG00000062038	OMIM:225280
ENSG00000062038	OMIM:601553
ENSG00000062598	OMIM:606893
ENSG00000062822	OMIM:612591
ENSG00000062822	OMIM:615381
ENSG00000064012	OMIM:114480
ENSG00000064012	OMIM:114550
ENSG00000064012	OMIM:211980
ENSG00000064012	OMIM:607271
ENSG00000064195	OMIM:104510
ENSG00000064195	OMIM:190320
ENSG00000064309	OMIM:614226
ENSG00000064313	OMIM:615599
ENSG00000064419	OMIM:608423
ENSG00000064490	OMIM:209920
ENSG00000064601	OMIM:256540
ENSG00000064687	OMIM:608907
ENSG00000064835	OMIM:613038
ENSG00000065000	OMIM:617050
ENSG00000065057	OMIM:616415
ENSG00000065135	OMIM:602483
ENSG00000065154	OMIM:258870
ENSG00000065361	OMIM:607598
ENSG00000065427	OMIM:613641
ENSG00000065427	OMIM:613916
ENSG00000065534	OMIM:613780
ENSG00000065618	OMIM:122400
ENSG00000065618	OMIM:226650
ENSG00000066084	OMIM:136630
ENSG00000066230	OMIM:616868
ENSG00000066279	OMIM:608716
ENSG00000066427	OMIM:109150
ENSG00000066468	OMIM:101200
ENSG00000066468	OMIM:101400
ENSG00000066468	OMIM:101600
ENSG00000066468	OMIM:123150
ENSG00000066468	OMIM:123500
ENSG00000066468	OMIM:123790
ENSG00000066468	OMIM:149730
ENSG00000066468	OMIM:207410
ENSG00000066468	OMIM:609579
ENSG00000066468	OMIM:613659
ENSG00000066468	OMIM:614592
ENSG00000066629	OMIM:600348
ENSG00000066827	OMIM:608175
ENSG00000066923	OMIM:615723
ENSG00000066926	OMIM:177000
ENSG00000067082	OMIM:176807
ENSG00000067082	OMIM:613659
ENSG00000067177	OMIM:300559
ENSG00000067182	OMIM:142680
ENSG00000067182	OMIM:614810
ENSG00000067704	OMIM:616007
