CONDITION_ID	GENE_ID
OMIM:108600	ENSG00000003393|ENSG00000021574|ENSG00000032444|ENSG00000068615|ENSG00000070610|ENSG00000072121|ENSG00000076685|ENSG00000081014|ENSG00000085788|ENSG00000100478|ENSG00000100523|ENSG00000103089|ENSG00000104133|ENSG00000114354|ENSG00000116337|ENSG00000123560|ENSG00000125744|ENSG00000129250|ENSG00000130294|ENSG00000130921|ENSG00000131943|ENSG00000132563|ENSG00000134262|ENSG00000135454|ENSG00000138185|ENSG00000139190|ENSG00000144381|ENSG00000147475|ENSG00000155016|ENSG00000155256|ENSG00000155975|ENSG00000155980|ENSG00000164961|ENSG00000168000|ENSG00000169359|ENSG00000170113|ENSG00000170540|ENSG00000172817|ENSG00000196663|ENSG00000197912|ENSG00000198513|ENSG00000198835|ENSG00000221838|ENSG00000242802|ENSG00000247626
OMIM:108720	ENSG00000136068|ENSG00000155850
OMIM:108721	ENSG00000136068|ENSG00000155850
OMIM:108770	ENSG00000143140|ENSG00000183873|ENSG00000262327|ENSG00000265107
OMIM:108900	ENSG00000038295|ENSG00000136574|ENSG00000141448|ENSG00000159251|ENSG00000164442|ENSG00000164532|ENSG00000183072|ENSG00000197616
OMIM:108985	ENSG00000007062|ENSG00000011465|ENSG00000088836|ENSG00000115020|ENSG00000115380|ENSG00000120708|ENSG00000120942|ENSG00000125850|ENSG00000148516|ENSG00000171812|ENSG00000184292|ENSG00000186442|ENSG00000187079|ENSG00000263243
OMIM:109150	ENSG00000066427
OMIM:109400	ENSG00000107882|ENSG00000117425|ENSG00000185920
OMIM:109730	ENSG00000137834|ENSG00000148400
OMIM:109800	ENSG00000068078|ENSG00000133703|ENSG00000139687|ENSG00000276536
OMIM:110100	ENSG00000183770
OMIM:112240	ENSG00000052850|ENSG00000066468|ENSG00000068078|ENSG00000077782|ENSG00000105722|ENSG00000120149|ENSG00000122691|ENSG00000140262|ENSG00000153283|ENSG00000157933|ENSG00000171456|ENSG00000185624
OMIM:112250	ENSG00000099810
OMIM:112310	ENSG00000136068
OMIM:112500	ENSG00000087494|ENSG00000125845|ENSG00000125965|ENSG00000128714|ENSG00000138696|ENSG00000163501|ENSG00000169071|ENSG00000183691
OMIM:112600	ENSG00000087494|ENSG00000125845|ENSG00000125965|ENSG00000128714|ENSG00000138696|ENSG00000163501|ENSG00000169071|ENSG00000183691
OMIM:113000	ENSG00000087494|ENSG00000125845|ENSG00000125965|ENSG00000128714|ENSG00000138696|ENSG00000163501|ENSG00000169071|ENSG00000183691
OMIM:113100	ENSG00000087494|ENSG00000125845|ENSG00000125965|ENSG00000128714|ENSG00000138696|ENSG00000163501|ENSG00000169071|ENSG00000183691
OMIM:113200	ENSG00000087494|ENSG00000125845|ENSG00000125965|ENSG00000128714|ENSG00000138696|ENSG00000163501|ENSG00000169071|ENSG00000183691
OMIM:113300	ENSG00000087494|ENSG00000125845|ENSG00000125965|ENSG00000128714|ENSG00000138696|ENSG00000163501|ENSG00000169071|ENSG00000183691
OMIM:113500	ENSG00000111199
OMIM:113620	ENSG00000137203
OMIM:113650	ENSG00000104313|ENSG00000177045
OMIM:113750	ENSG00000049130|ENSG00000101440|ENSG00000104055|ENSG00000107165|ENSG00000115648|ENSG00000137265|ENSG00000140090|ENSG00000162341|ENSG00000166068|ENSG00000188467|ENSG00000281919
OMIM:113800	ENSG00000167768|ENSG00000186395
OMIM:113900	ENSG00000114353|ENSG00000118729|ENSG00000130529|ENSG00000183873|ENSG00000198626|ENSG00000282974
OMIM:113970	ENSG00000136997
OMIM:114000	ENSG00000108821|ENSG00000162337|ENSG00000166801|ENSG00000282984
OMIM:114290	ENSG00000125398
OMIM:114300	ENSG00000109063|ENSG00000130595|ENSG00000130598|ENSG00000133020|ENSG00000138829|ENSG00000154864|ENSG00000171551|ENSG00000196091|ENSG00000198467
OMIM:114480	ENSG00000012048|ENSG00000023287|ENSG00000039068|ENSG00000051180|ENSG00000064012|ENSG00000072571|ENSG00000074319|ENSG00000083093|ENSG00000085999|ENSG00000104320|ENSG00000110628|ENSG00000121879|ENSG00000126215|ENSG00000133703|ENSG00000136492|ENSG00000138376|ENSG00000139618|ENSG00000141510|ENSG00000142208|ENSG00000149311|ENSG00000163322|ENSG00000167085|ENSG00000170836|ENSG00000183765
OMIM:114500	ENSG00000068078|ENSG00000076242|ENSG00000087088|ENSG00000087586|ENSG00000095002|ENSG00000100393|ENSG00000104213|ENSG00000110092|ENSG00000115758|ENSG00000116062|ENSG00000119684|ENSG00000121879|ENSG00000127947|ENSG00000132781|ENSG00000134982|ENSG00000137462|ENSG00000141510|ENSG00000142208|ENSG00000149177|ENSG00000154803|ENSG00000156970|ENSG00000157764|ENSG00000164741|ENSG00000168036|ENSG00000168646|ENSG00000171444|ENSG00000187323|ENSG00000188257|ENSG00000197122|ENSG00000197275|ENSG00000198804|ENSG00000213281
OMIM:114550	ENSG00000064012|ENSG00000100526|ENSG00000103126|ENSG00000104213|ENSG00000105976|ENSG00000121879|ENSG00000129422|ENSG00000134982|ENSG00000141510|ENSG00000168036|ENSG00000197081
OMIM:114900	ENSG00000204370
OMIM:115080	ENSG00000108599
OMIM:115150	ENSG00000126934|ENSG00000133703|ENSG00000157764|ENSG00000169032
OMIM:115195	ENSG00000035403|ENSG00000092054|ENSG00000101306|ENSG00000106617|ENSG00000111245|ENSG00000114854|ENSG00000118194|ENSG00000129170|ENSG00000129991|ENSG00000134571|ENSG00000140416|ENSG00000149596|ENSG00000155657|ENSG00000159251|ENSG00000160808|ENSG00000162614|ENSG00000172399|ENSG00000182533|ENSG00000197616|ENSG00000198523|ENSG00000269058
OMIM:115196	ENSG00000035403|ENSG00000092054|ENSG00000101306|ENSG00000106617|ENSG00000111245|ENSG00000114854|ENSG00000118194|ENSG00000129170|ENSG00000129991|ENSG00000134571|ENSG00000140416|ENSG00000149596|ENSG00000155657|ENSG00000159251|ENSG00000160808|ENSG00000162614|ENSG00000172399|ENSG00000182533|ENSG00000197616|ENSG00000198523|ENSG00000269058
OMIM:115197	ENSG00000035403|ENSG00000092054|ENSG00000101306|ENSG00000106617|ENSG00000111245|ENSG00000114854|ENSG00000118194|ENSG00000129170|ENSG00000129991|ENSG00000134571|ENSG00000140416|ENSG00000149596|ENSG00000155657|ENSG00000159251|ENSG00000160808|ENSG00000162614|ENSG00000172399|ENSG00000182533|ENSG00000197616|ENSG00000198523|ENSG00000269058
OMIM:115200	ENSG00000035403|ENSG00000046604|ENSG00000069431|ENSG00000073578|ENSG00000077522|ENSG00000080815|ENSG00000092054|ENSG00000106692|ENSG00000109846|ENSG00000112319|ENSG00000112769|ENSG00000114854|ENSG00000118194|ENSG00000120802|ENSG00000122367|ENSG00000129170|ENSG00000129991|ENSG00000132155|ENSG00000140416|ENSG00000143801|ENSG00000151929|ENSG00000155657|ENSG00000157259|ENSG00000159251|ENSG00000160789|ENSG00000162614|ENSG00000170624|ENSG00000173991|ENSG00000175084|ENSG00000183873|ENSG00000197616|ENSG00000198523|ENSG00000198947|ENSG00000203867|ENSG00000205981
OMIM:115210	ENSG00000118194|ENSG00000129991|ENSG00000138347
OMIM:115300	ENSG00000135697|ENSG00000137561
OMIM:115310	ENSG00000073578|ENSG00000117118|ENSG00000143252|ENSG00000167985|ENSG00000204370
OMIM:115430	ENSG00000118271
OMIM:115700	ENSG00000026025|ENSG00000100053|ENSG00000100122|ENSG00000102878|ENSG00000105370|ENSG00000108255|ENSG00000109501|ENSG00000111846|ENSG00000118231|ENSG00000121634|ENSG00000121743|ENSG00000125864|ENSG00000135517|ENSG00000160202|ENSG00000163254|ENSG00000163499|ENSG00000163820|ENSG00000170819|ENSG00000178573|ENSG00000182187|ENSG00000188158|ENSG00000196116|ENSG00000196431|ENSG00000213139|ENSG00000244752
OMIM:115900	ENSG00000026025|ENSG00000100053|ENSG00000100122|ENSG00000102878|ENSG00000105370|ENSG00000108255|ENSG00000109501|ENSG00000111846|ENSG00000118231|ENSG00000121634|ENSG00000121743|ENSG00000125864|ENSG00000135517|ENSG00000160202|ENSG00000163254|ENSG00000163499|ENSG00000163820|ENSG00000170819|ENSG00000178573|ENSG00000182187|ENSG00000188158|ENSG00000196116|ENSG00000196431|ENSG00000213139|ENSG00000244752
OMIM:116100	ENSG00000026025|ENSG00000100053|ENSG00000100122|ENSG00000102878|ENSG00000105370|ENSG00000108255|ENSG00000109501|ENSG00000111846|ENSG00000118231|ENSG00000121634|ENSG00000121743|ENSG00000125864|ENSG00000135517|ENSG00000160202|ENSG00000163254|ENSG00000163499|ENSG00000163820|ENSG00000170819|ENSG00000178573|ENSG00000182187|ENSG00000188158|ENSG00000196116|ENSG00000196431|ENSG00000213139|ENSG00000244752
OMIM:116200	ENSG00000026025|ENSG00000100053|ENSG00000100122|ENSG00000102878|ENSG00000105370|ENSG00000108255|ENSG00000109501|ENSG00000111846|ENSG00000118231|ENSG00000121634|ENSG00000121743|ENSG00000125864|ENSG00000135517|ENSG00000160202|ENSG00000163254|ENSG00000163499|ENSG00000163820|ENSG00000170819|ENSG00000178573|ENSG00000182187|ENSG00000188158|ENSG00000196116|ENSG00000196431|ENSG00000213139|ENSG00000244752
OMIM:116300	ENSG00000026025|ENSG00000100053|ENSG00000100122|ENSG00000102878|ENSG00000105370|ENSG00000108255|ENSG00000109501|ENSG00000111846|ENSG00000118231|ENSG00000121634|ENSG00000121743|ENSG00000125864|ENSG00000135517|ENSG00000160202|ENSG00000163254|ENSG00000163499|ENSG00000163820|ENSG00000170819|ENSG00000178573|ENSG00000182187|ENSG00000188158|ENSG00000196116|ENSG00000196431|ENSG00000213139|ENSG00000244752
OMIM:116400	ENSG00000026025|ENSG00000100053|ENSG00000100122|ENSG00000102878|ENSG00000105370|ENSG00000108255|ENSG00000109501|ENSG00000111846|ENSG00000118231|ENSG00000121634|ENSG00000121743|ENSG00000125864|ENSG00000135517|ENSG00000160202|ENSG00000163254|ENSG00000163499|ENSG00000163820|ENSG00000170819|ENSG00000178573|ENSG00000182187|ENSG00000188158|ENSG00000196116|ENSG00000196431|ENSG00000213139|ENSG00000244752
OMIM:116600	ENSG00000101421|ENSG00000107859|ENSG00000109846|ENSG00000142627
