0	22537
1	0|102|1145|11134|12780|14509|15885|22537|22538|23936|24061
2	0|72|74|94|102|103|7601|8859|11134|11536|15879|22537|22538
3	0|22537
4	0|3|22537
5	0|3|22537
6	0|102|103|640|7157|8892|11134|15895|22537|22538
7	0|12|74|102|103|7602|7935|22537|22538
8	0|74|102|103|2024|2028|7642|7935|11134|12538|15566|15893|22537|22538
9	0|7|12|74|102|103|558|7602|7935|9286|11134|12855|14209|15879|15995|18907|22537|22538
10	0|7|12|74|102|103|7602|7935|22537|22538
11	0|6|102|103|112|639|640|2407|5687|7157|8892|11134|12045|12046|13270|15446|15895|17746|17747|22537|22538
12	0|74|102|103|7602|22537|22538
13	0|12|74|102|103|7602|22537|22538
14	0|7|12|74|102|103|7602|7935|11134|12511|15879|15892|15995|22537|22538
15	0|7|12|74|102|103|7602|7935|22537|22538
16	0|7|12|74|102|103|7602|7935|22537|22538
17	0|7|12|74|102|103|7602|7935|11134|12511|15879|15892|15995|22537|22538
18	0|12|74|102|103|7602|7620|11134|11536|11555|15879|22537|22538
19	0|102|103|640|7158|8892|11134|15895|22537|22538
20	0|102|1102|1164|1514|1697|2617|3104|3105|7535|7686|9365|10833|11134|11486|13858|13978|15885|15888|22537|22538
21	0|19|102|103|640|2024|5745|7158|7642|8892|9294|9296|11134|12638|12841|14187|14271|15886|15893|15895|16124|21634|21866|22537|22538
22	0|75|102|103|8892|9521|11134|15895|22537|22538
23	0|22|29|32|75|102|103|117|639|645|5519|7158|8892|8893|9521|11134|12877|14489|15895|16128|22537|22538|27710
24	0|22|75|102|103|5678|7158|8892|9521|11134|11391|12044|12049|12647|12874|12875|13306|15350|15445|15890|15895|16478|22537|22538
25	0|29|32|102|103|639|645|7158|8892|11134|11652|12070|12071|12840|14489|15886|15895|16128|17736|17743|21632|22537|22538
26	0|29|32|45|75|102|103|117|639|645|2407|5519|5716|7158|7163|8892|8893|11134|11652|12070|12071|12840|12877|14489|15393|15886|15895|16128|17736|17743|21632|22537|22538|27710
27	0|29|32|102|103|131|639|640|645|1985|4883|7158|7457|7459|7460|8449|8892|10776|11134|15895|22537|22538
28	0|19|102|103|640|6454|7158|8892|11134|15895|22537|22538
29	0|102|103|639|7158|8892|11134|15895|22537|22538
30	0|29|57|102|103|639|7158|8892|11134|15895|22537|22538
31	0|29|32|102|103|639|645|7158|8892|11134|15895|22537|22538|25520|27710
32	0|29|102|103|639|7158|8892|11134|15895|22537|22538
33	0|29|102|103|639|7158|8892|11134|15895|22537|22538
34	0|29|102|103|639|7158|8892|8893|11134|12878|13409|15895|22537|22538|24061|28085
35	0|29|33|74|102|103|627|639|7158|7602|8892|10688|11134|11536|12070|15711|15879|15895|17736|17737|20292|22537|22538
36	0|29|33|102|103|639|7158|8892|11134|11536|12070|15711|15879|15895|17736|17737|22537|22538
37	0|29|33|102|103|639|7158|8892|11134|12253|12638|14271|15895|18232|22537|22538
38	0|102|103|639|8892|11134|15895|22537|22538
39	0|75|102|103|117|645|5519|8892|8893|11134|12877|14489|15895|16128|22537|22538|27710
40	0|29|102|103|639|7158|8892|11134|15895|22537|22538
41	0|29|40|45|102|103|639|2407|7158|8892|11134|15895|22537|22538
42	0|29|33|74|102|103|627|639|7158|7602|8892|10688|11134|11536|15879|15895|20292|22537|22538
43	0|29|40|102|103|639|7158|8892|11134|12070|13302|15895|17736|17737|22537|22538
44	0|29|40|102|103|639|7158|8892|11134|15895|22537|22538
45	0|102|103|639|2407|8892|11134|15895|22537|22538
46	0|29|33|42|74|102|103|627|639|7158|7602|8892|10688|11134|11536|15879|15895|20292|22537|22538
47	0|29|63|74|102|103|627|639|7158|7602|8892|11134|11536|15879|15895|22537|22538
48	0|29|32|102|103|639|7158|8892|11134|11652|12070|12071|12840|14489|15393|15886|15895|16128|17736|17743|21632|22537|22538
49	0|29|33|45|102|103|639|2407|5717|7158|8892|11134|11536|12070|15711|15879|15895|17736|17737|22537|22538
50	0|102|103|639|7157|8892|11134|15895|22537|22538
51	0|50|102|103|639|7157|8892|11134|15895|22537|22538
52	0|50|51|102|103|639|7157|8892|11134|12045|13729|13730|15895|17639|17746|22537|22538
53	0|50|102|103|639|1182|7157|8892|11134|15895|22537|22538
54	0|50|53|57|61|102|103|639|753|1182|2407|7157|7780|8011|8892|9462|9528|11134|12045|13729|14101|14103|14105|15895|17746|19274|22537|22538
55	0|50|51|57|102|103|639|2407|7157|8892|9462|11134|12045|13729|13730|15895|17639|17746|22537|22538
56	0|50|57|102|103|639|7157|8892|11134|15895|22537|22538
57	0|102|103|639|8892|11134|15895|22537|22538
58	0|50|53|102|103|639|753|1182|7157|7780|8011|8892|9527|11134|15895|19274|22537|22538
59	0|50|53|57|61|102|103|639|753|1182|2407|7157|7780|8011|8892|9462|9527|11134|15895|19274|22537|22538
60	0|50|53|102|103|639|753|1182|7157|7780|8011|8892|11134|15895|19274|22537|22538
61	0|50|53|57|102|103|639|753|1182|2407|7157|7780|8011|8892|9462|11134|15895|19274|22537|22538
62	0|29|50|63|74|102|103|627|639|7157|7158|7602|8892|11134|11536|15879|15895|22537|22538
63	0|29|74|102|103|627|639|7158|7602|8892|11134|11536|15879|15895|22537|22538
64	0|74|102|103|7601|11134|11536|15879|22537|22538
65	0|64|74|102|103|7601|11134|11536|15879|22537|22538
66	0|64|67|74|102|103|733|1970|2090|4130|7601|8496|9943|9946|11134|11536|15879|15882|15896|16001|22537|22538
67	0|64|74|102|103|7601|11134|11536|15879|22537|22538
69	0|64|66|67|74|102|103|733|1970|2090|4130|7601|8496|9943|9946|11134|11536|15879|15882|15896|16001|19985|22537|22538
70	0|72|74|102|103|7601|8859|11134|11536|15879|22537|22538
71	0|7|12|64|72|74|102|103|7601|7602|7935|8860|11134|11536|14171|15879|15995|22537|22538
72	0|74|102|103|7601|22537|22538
74	0|102|103|22537
75	0|102|103|8892|11134|15895|22537|22538
76	0|64|72|74|102|103|3360|7601|8859|11134|11536|15879|22537|22538
77	0|72|74|102|103|7601|7935|8860|11134|15879|15995|22537|22538
78	0|72|74|102|103|7601|8859|10607|11134|11536|15879|22537|22538
79	0|72|74|102|103|7601|8859|10607|11134|11536|15879|22537|22538
80	0|72|74|102|103|5684|7601|8859|11134|11536|13335|15879|22537|22538
81	0|72|74|102|103|7601|8859|10988|11134|11536|15879|22537|22538
82	0|72|74|102|103|7601|8859|9222|11134|11536|15879|22537|22538
83	0|72|74|82|102|103|7601|8859|9222|11134|11536|15879|22537|22538
84	0|74|102|103|1450|2303|7935|8986|11134|15879|15995|16434|22537|22538
85	0|72|74|102|103|7601|8859|9222|11134|11536|15879|22537|22538
86	0|72|74|85|102|103|7601|8859|9222|11134|11536|11539|11541|13446|14438|15838|15879|22537|22538
87	0|72|74|85|86|102|103|7601|8859|9222|11134|11536|11539|11541|13446|14438|15838|15879|22537|22538
88	0|1|102|1145|11134|12166|12780|14509|15885|22537|22538|23936|24061|28424
89	0|72|74|85|102|103|106|2024|7601|7642|7935|8859|8860|9222|9294|9296|11134|11536|11539|11541|13446|14438|15838|15879|15893|15995|20258|22537|22538
90	0|72|74|102|103|7601|7935|8860|11134|15879|15995|22537|22538
91	0|72|74|102|103|558|559|7601|7698|7935|8860|9237|9285|11134|12511|14209|15879|15892|15995|22537|22538|33898
93	0|72|74|102|103|7601|8859|11134|11536|13335|15879|22537|22538
94	0|72|74|102|103|7601|8859|11134|11536|15879|22537|22538
95	0|72|74|94|102|103|7601|7697|8859|10988|11134|11536|15879|22537|22538
97	0|72|74|85|102|103|7601|8859|9222|11134|11536|15879|22537|22538
98	0|72|74|102|103|7601|7935|8860|11134|15879|15995|22537|22538
100	0|72|74|82|102|103|7601|8859|9222|11134|11536|15879|22537|22538
101	0|74|102|103|1450|2303|7935|8986|9238|9246|11134|15879|15995|22537|22538
102	0|22537
103	0|102|22537
104	0|72|74|102|103|7601|8859|11134|11536|15879|22537|22538
105	0|72|74|102|103|5684|7601|7623|8859|11134|11536|15879|22537|22538
106	0|72|74|102|103|2024|7601|7642|7935|8860|9294|9296|11134|15879|15893|15995|20258|22537|22538
107	0|72|74|82|102|103|7601|7935|8859|8860|9222|11134|11536|15879|15995|22537|22538
108	0|72|74|79|102|103|7601|8859|10607|11134|11536|15879|22537|22538
109	0|64|72|74|102|103|733|946|1970|2090|7601|7610|8081|8496|8859|9943|9946|11134|11536|14744|15879|15882|15896|16001|22537|22538|24061
110	0|74|102|103|1450|2303|7935|8986|9238|11134|15879|15995|22537|22538
111	0|74|102|103|1450|2303|7935|8986|9238|9245|11134|15879|15995|22537|22538
112	0|6|102|103|640|7157|8892|11134|15895|22537|22538
113	0|6|102|103|112|640|1985|4883|7157|7456|7459|8449|8892|11134|15895|22537|22538
114	0|6|102|103|122|640|645|680|1395|1415|5519|7157|8892|11134|12638|14272|15895|17882|22537|22538
115	0|102|103|640|8892|11134|15895|22537|22538
116	0|6|75|102|103|117|119|640|645|5519|7157|8892|8893|11134|11652|12045|12840|12877|14489|15886|15895|16128|17746|17747|21631|22537|22538|26585|27710
117	0|75|102|103|645|5519|8892|8893|11134|12877|14489|15895|16128|22537|22538|27710
118	0|6|102|103|112|640|7157|8892|11134|12045|12046|15895|17746|17747|22537|22538
119	0|6|102|103|640|645|7157|8892|11134|11652|12045|12840|14489|15886|15895|16128|17746|17747|21631|22537|22538
120	0|6|102|103|119|640|645|7157|8892|11134|11652|12045|12840|14489|15886|15895|16128|17746|17747|21631|22537|22538
121	0|6|102|103|112|640|2617|7157|8892|10833|10862|11134|12045|12046|15895|17746|17747|22537|22538
