GENE_ID	CONDITION_ID
1053	2928
10530	21510|24149
10532	15439|23589
10534	5250|7849|8810|11778|12115|24194|24760
10536	17095
10537	11944
10538	5406
1054	4253
10543	3656|5252|5569|8977|10466|21844
10546	8464|10607|19284|24288
10547	8807|13125|18146|20522
10549	10272|13552
10550	7194|9882
10555	15739
1056	15815
10561	3180|3521|5828|7135|15968|18613|23921
10562	15355|22244|22844
10563	9865|10916|11043|11984|14301
10566	13652
10568	24080
10569	9285|10201
1057	3835
10570	8699|11690|11691|12832
10571	12555
10572	2115|18454
10574	22141
10577	5877|11296|24019
10578	18061
1058	850|2055|2262|6330|8178|21861
10581	1685|7757|8104|10711|12487|15500|17950|19983
10582	7695
10584	841|2344|3329|13542
10587	2173|2174
10588	16645
1059	3513|9237
10590	2148
10592	9933
10593	1588|10592
10594	16711|22906
10595	11151
10596	3700|22556
10598	3279|3637|4604|11438|11439|11440|20678|20679|20680|20681|23920
106	1439
1060	6184|14071
10600	222|223|224|225|226|227|228|380|1315|1316|1317|1410|1663|1706|1712|1928|2676|2677|6116|6117|6580|6581|6586|6587|6605|7607|7608|7609|11818|17905|20059|20453|20664|20867
10601	15089
10605	20386
10606	13775|23035
10607	763|19233|24083
10608	13967
10610	12089
10613	15354
10614	9474|9475|9483|22336
10615	8939
10616	22757
10619	8916
10622	7147|7148|18923
10626	13075
10627	15852
10629	3021|10620|11855
10630	6821
10632	11324|11325|11847|14623
10634	6601|15169
10636	20813
10638	7107|7108
10642	22237
10643	7641|9833
10644	12316|16371
10645	4219|5728
10646	1443|1745|1783|2328|2329|8042|8066|8172|10734|11972|12326|12859|14952|14966|18225|18952|20222|23789
10647	343|11856|13540|22866
10651	11546
10652	4047
10653	3594|12079|16190|19874|23809|24494
10654	8966|15187|20586
10655	1180|1425|13344
10657	11087
10658	3711
10659	17767|17768
1066	15937
10660	15660|15712|15867
10661	15054|19297
10662	3626|3918|4276
10664	963|2161|13065
10665	10332
1067	6172|21449
10673	11999|14560
10676	12748|14527|14590|15564
10677	1680|2118
10679	1026|2554|3210|6046|20161|20162|21089|21090|24045
1068	584|5173|11241|22564|23832|24615
10681	8411
10682	11003|18782
10683	1856|7693
10684	7318|7983
10685	22733
10686	17241
10687	18444
10688	21985
10689	21162|21163|21782|22275
10691	8991
10692	5736
10694	7307|12573|14842|14843|16897
10695	15373|15381|23161
10697	7973|9905
10698	13986|14302|20551|21780
107	5719|14826
1070	10782
10701	9762
10702	11610
10704	17981
10705	739|6473|7452|8763|8764|11111|19853
10706	20180
10708	18900|20029|20094
10709	16694
10717	11060|18971
10718	22767
1072	6209|6788
10721	1184|4484|11301|20264|21147|24616
10722	2376|2377|8673|9350|14812|22307|24775
10723	15689|15695|16759|18389
10727	3349|10852
10730	21507
10733	696|3357|19513|19514|19515|19791
10734	6225|10115|10116
10739	15385
10742	21269
10745	20497|23715
1075	14480|19073|19074
10750	1081|22267
10756	24817
10757	22097
1076	9901
10760	4721|10885
10761	9279|14237
10762	7323
10767	145|146|147|148|149|150|151|152|153|154|336|337|338|339|340|341|434|444|1300|1651|1652|4935|4936|4938|4940|4999|5022|5025|5026|5027|5028|5029|5516|7412|9729|12946|13559|15976|19242
10768	15861
10769	15052
1077	12000
10771	8745|9479|10096|12267|14655
10773	2552|15975|23643
10775	8950|11544|11598|17861
10778	15037
10779	17188
1078	12591|14338|14340|14341
10780	24474
10782	8963
10785	22194
10787	22048
1079	372|17014
10790	17015
10793	20650
10795	2992|4800|23929
10797	752|5455|17028|22376|23834
10798	19532
10799	15440|22963
108	4658
1080	6884|10879
10800	15859|22617
10805	4458
10806	9013|9086
10807	3757|3760|8575|9085
10809	2901|7680|20240|20241|20242
1081	1682|2090|8723|10751|16030|17112|17869|20170|21900
10812	23453|23454
10821	21600|21709
10822	8705
10825	16745|22041
10827	20849
10829	10955
10830	18677
10831	20216
10833	1543|2042|14833|19395|19972|20332
10838	1248|1254|1256|1278|2555|2706|2707|3026|3054|3055|3056|3515|3518|3519|7627|7906|7907|7908|10132|10220|11430|12803|15949|15950|15951|15952|17906|22810|23276|23277
1084	20972|24575
10841	15665|17164
10842	13911
10846	24205
10850	10745
10852	4205|4206|4786|9169|10464
10858	6230
10859	11582|24459
10860	15293
10862	17278|17400|17716|19500
10863	15751
10867	17075
10868	19895
1087	17302|20173
10870	4241|4426|9641
10871	5108|14152|23631
10872	1090|1091|1092|1880|5649|5715|6275|6276|6277|7971|8046|9562|9579|11178|11480|14001|14318|14319|14320|14465|14466|14467|14468|14469|14470|14471|14472|14473|14474|14475|14476|14924|15678|16695|17277|17565|17566|17567|17568|17569|17570|17571|17572|17573|17574|17575|17576|17577|17578|17579|17580|17581|17582|17583|17584|17585|17586|17587|17588|17589|17590|17591|17592|17593|17594|17595|17596|17646|18160|18550|19627|19866|20446|20447|21571|21676|21684|21685|21686|21687|21688|21689|21690|21691|21692|21693|21694|21695|21697|21698|21700|21701|21702|21703|21704|21705|21706|22655|22672|22673|22674|22675|22676|22677|22678|22679|22680|22681|22682|22683|22684|22686|22687|22694|22742|22743|22744|22825|23138|23247|23469
10877	2439|2440|2441|4933|4934|5705|8230|8309|8310|8312|10071|10072|10073|10318|10319|10320|10321|10322|10324|10325|10326|10695|10962|11321|11371|12798|12932|12933|12934|14112|16094|16782|16852|16853|17178|21794
10878	22587
10879	22210
1088	8748
10885	11928
10886	20244|23446|23588
10889	15866
1089	22268
10892	9797
10897	5549|14249
10898	18438
10903	4523
10905	12367
10906	12745
10907	15060
1091	6785|7731
10910	16220
10911	16344
10913	14292
10914	3799
10915	2483|23791
10919	22038
10922	22695
10923	21348
10925	7012|18654|21871
10926	5600|5665|5666|5667|10696|11247|11248|11249|11250
10929	5290
1093	7144|7702|9516|10056|21970
10933	5033
10935	16998
10938	22422
10939	980
1094	4805|4806|18309|19789
10943	8749|20086
10944	8220|18661|20653
10945	8884|12157|12158|16938
10946	18777
10948	21778
10950	2380|2381|23380
10951	22903
10954	17212
10955	16477
10957	9544|11802|14188
10958	1131|2363|2364|10847|11284|17717|17969|19476|20194|22440|22441
10959	9810|9914|10572|19935
10962	17819|24543
10963	7628
10965	6295|8250|21933
10966	3582
10968	15351
10971	397|398|489|490|12630|13408|14499
10974	11962
10976	973|5694|12536|12537
10977	14293|18066|22788
10978	17757
10979	8777|14425|14426|20214|21402|24191
1098	11314|16565
10980	8581|8601|9501|12581|21901
10982	4561
10985	15812|18959
10987	17714
1099	1949|2016|9755|20956
10990	22734
10991	16915
10995	17986|17987|17988|20009|22014
10997	4262|4263
10998	8542|10344|11533
110	4649|6314|12088
1100	16914
11002	5975|6269|16004|16005|16006|16007|16008|16009|21480|23427
11003	10016
11004	8602|9943|13193|21331
11005	17877
11006	13410|14503
11008	24144
11009	1038|5129|6971|9622|12155|14640|14961|16107|17341|19891|22563
1101	8333
11012	11375
11014	14824|16120
11019	886|1800|23838
11021	7377|7378
11022	24766
11023	15799
11024	1320|4402
11025	16312|24735
11028	16376
11029	17018
1103	18578
11030	18668
11034	22632
11035	10817|17947|17984|23491
11037	22219
11038	18281
11039	6801
1104	5737|7831|11260|12942|15990|18329
11041	24677
11042	18792|21387|24405
11043	4387|5344|7552|7553|10595
11044	4256|17337|17611|23397|23399
11046	15094
11048	18517|18584
11050	18583|21630
11051	2061
11052	20730
11054	23135
11055	13493|13676
11059	14936
11060	5424|9981
11061	9759|9760|16257
11064	14239
11067	14534|17237
11068	4384|6488|8415|11196|11197|12251|19884|20800|23474|24173|24293|24342
11072	9853|15953
11079	23749
1108	4052
11080	7838|8215
11082	3731|24537
11085	7101
11088	8469|15000
11090	17124
11091	15195|17296
11092	12825
11093	17002
11096	17261|19207
11097	15579|15605|15664|21012|21070
11099	3286|3287|11843|19888
111	23526
1110	23635
11100	5355|20828
11101	1434|4038|4741|11655
11102	11665|17536|22987
11103	10990|14400
11105	8176
11108	15833|19488
11109	15189|16900
1111	1076|3173|5236|5237|5238|5239|14889|23340
11110	14198|22292
11112	22724
11114	379|492|17408|17440|17441
11115	18442|24534
11116	9695
11117	22628
1112	4737
11120	9629|21882
11122	1941|4827|4828
11123	22840
11125	21661
11138	11845
11139	4184
1114	17804
11140	17782
11141	1305|1365|1366|14585
11142	2853|24610|24611
11144	21341
11149	21877
1115	4159
11150	18801
11151	11081|15259|17100
11155	2073|2112|2113|7829
11156	23607
11158	7805
11159	3338
1116	8489
11160	10407
11161	8355|12718|16572|22288
11163	8958|12667|12668|18572|18573
11169	18645|22395
1117	14485|16576
11171	17774
11172	16910
11173	5392|6232|6233|7127|8980|20750
11178	7372|8524|12383|21909
1118	8044|23153
11180	1334|1356
11183	16095
11184	16876|16877|16878
11185	3020|3079|21707|21708
11186	18931
11187	3905|11101
11189	16677
1119	5891|9864|10222
11190	6919|8942|9042|10526|12206|16785
11194	19109
11197	6718|6719|8565|8567|17973|19408|19411
112	23018
1120	6216|6217
11204	23654
11205	3840
11208	17257
1121	2258
11210	12481|12988|13419|15176|17417
11211	24644
11212	12230
11215	11384
11216	15736
1122	11525
11224	10030|10031|22483
11225	23029
11226	10173|21895
11229	12132|12133
1123	18222|24539
11230	5811|6131|13052|13796|20042
11231	18834
11232	12560
11234	12409
11236	24270
11238	13290|22109
1124	6515|13023
11242	8519|8520|8521
11243	3794|5235
11245	15472
11246	18356
11247	18069
11248	10371|19388
1125	11433
11255	682|8383|8399|10362|10641|11195|11877
11256	11361
11258	20445
11259	4966|9918
11260	11684|12943|16479|19881
11262	19338|19339
11263	17313
11267	24798
1127	22561
11275	2957
11278	20254
11279	13038
1128	21783
11280	508|638|740|6826|12911
11282	15102
11283	20248
11285	11381
11287	18422
11288	21165|22130
11289	17253
11295	24118
11299	3917
1130	14763
11300	6393
11301	13328|14345|15534|16831
11303	4539|9124|17638
11305	21432
11309	15557
11312	21471
11317	10945|21006
11318	16503
11321	8337|10142|12057|12058|14875|19204|23665
11323	15016|15323
11324	16674
11326	5755
1133	15029|15886
11332	1798|17199
11333	6267
11336	19017
11337	20329
1134	12131|15053|20289
11342	4927
11344	18588|20274|21563
11346	1720
11347	16409
11348	1082
1135	15940|23813
11353	13303|14899|18127|19230|21799
11356	8865
11357	7975
11358	15730|19341|21132
11359	3885
1136	3454|3455|3456|3466|4912|4913|4914|12813|12898|13513|15955|15956|16056|19668
11360	23005
11361	11714|11817|12052|12272
11365	20205
11367	11523
1137	13587|18953|19939
11370	13209|16982|24530
11371	4854|8791|17852|24439
11372	18522|19788|21491
11374	8380
11377	22596
11378	14494|14495
11381	7541|13512
11382	23410
11383	1354|1611|2503|2505|2506|2508|6014|7544|19391|19392|19393|19927
11384	15787|19892
11385	3242|3247|17972|22816
11386	3677|12257
11387	14365
11388	20051
1139	5052
11392	21574
11394	18934
11395	21305
11396	4012|6845
11397	15269|18852
11398	5979|6202
114	5032
1140	14389|23552
11404	16499
11405	18682
1141	20792|21680
11412	8325|9590
11413	1182|13711|23228|23369
11414	21370|22454
11415	4861|20694
11421	20773|24531
11422	17778|23058
11423	15138
11424	2631|4984|11317|12652
11426	5573
11430	6248
11432	13289
11439	22729
11440	24461
11442	3274
11443	7614
11444	5759|6324|10082
11445	8566|16941
11447	8893|9969|11428|14068|22421|23285
11448	15008|15092|22801
1145	11681|23756
11451	18431|20734|22999
11454	15160|15348
11455	934
11456	21734|23361|24162|24708|24709
11458	5726
11460	11182|14226|14333
11463	21601|21602
11464	3652|3654|5572|14398|14399|21865
11465	108|109|110|111|112|462|463|1638|6098|6776|7539|8080|9509|10036|10622|10757|10758|13557|14456|14965|18883|19195|19232|20541|22353|23480
11466	9858
11469	4985
1147	17908|23286|23603
11470	1566
11475	4625|6309|11121|11871|13682|13684|23531|24588
11476	16137
11478	1330|5183|13079|14622
11479	9692|9693|22398
1148	12574
11482	22913
11483	2188|6762
11485	3163|3179|5959|9502
11486	1193|1736|19298
11487	2049|12314
11488	17955
1149	8759|9656
11492	16359|22298
11493	452|1307
11494	18599
11496	2062|4547|6590|7224|7550|7551|12570|16808
11498	3694
11499	2434|2435|2436|2437
115	16497
1150	3895|8190|10136|17415
11500	9460|18402|22550
11509	996|7445|12299|16886
1151	11302
11510	7797|17204|17205
11511	16399|23564
11514	12008
11515	21079|21748
11518	17754
11521	13941|15473|18756|19142
11523	18899
11524	10026|13161|18487|18488|21210|21211
1153	24419|24792
11531	998|5208
11533	21637
11536	16451
1154	15416
11540	13397
11543	6760
11544	23155
11545	11046
1155	15582
11551	16719|22332
11552	16691
11553	24022|24663
11557	15047|15058
11567	1199|9195|14621|15518|19827
1157	10341|10406|17885
11570	6862
11573	7253|17179
11574	9553|10394|13099
11575	9676|13802
11578	14120|19311
11579	1194|2361|17936|21864
11580	3464|11989|21198
11583	2423|2427|10779|16302|16303|17659|24755
11584	2452|2467|3089|3090|4400|9603|11591|13448|14624|14625|17542|18063|18260|18261|19209|19410|19819|21655|21656|21658|21725|22669|23025|24327
11587	4273|4859|12137|13106|19251|19520
11588	335|442|5771|7159|7374|7736|10234|10707|10708|11706|11995|12062|12083|14651|18186|21561
1159	17525|23159
11593	21621
11595	16644
11596	19423|20097
11597	22156
11599	16061|20564
116	9293
1160	18426
11603	10775|14706|20003
11604	9294|18153|21455
11607	9498
11608	8746
1161	16500
11611	2213|2215|2216|7437
11613	10342
11615	13025|13028|23003
11616	8526|8889
11619	20736
1162	1700|12986|20064|24027
11621	9546
11624	16606|17862
11625	3818
11626	15985|20307|20397
1163	3401|3432|3433|15184
11630	1683
11631	4223|9867
11635	4010|10512
11638	3228|3230
11639	12293|19258|19259|19260|19261|19538
1164	14865|20715
11640	16103
11641	5394|6617|19836
11642	19535
11643	8796|9187|11912|11916
11644	8676
11645	23553
11647	9139|9841
11648	9592|9593
11649	9370
1165	9683
11653	1308|9610|14159|16789|17385|17649|17650|20811
11655	7407|10237
11656	11611
11658	3103|3129|3520|21454
11659	12274|12806|23095
11661	8143|9970|15996|21797
11663	21955
11668	24108
11669	18124
1167	17180
11670	14539|18874|19785
11671	15569|16049|18421
11678	4943
11679	1542
11681	6142|6143|6614|16622
11683	1698
11685	16567
11686	12664
11687	5699
11689	15503|15515
1169	10212
11690	24254
11693	10576|10895|14804|15257|20419
11695	15124|15411|24336
11696	14073
11698	8841|9951|22741|23119|23122
11699	12553|13110|13111|14336|14337|14339|20782
11700	9923|16429
11702	7581
11704	14555|15384
11706	21977
11707	6162|12504
11708	10809|23869
1171	4185|6207
11711	23203
11712	4126|10952|10953
11715	8852
11716	9542
11717	8984
11718	9329|9639|9640
11719	11192|21281
1172	7052|24252
11720	12353|18832
11722	10604
11725	18043
11727	14654
11728	2819
1173	9256
11730	5932|7638|10849|12703|21027
11731	3590
11732	19576
11733	3996|10546
11734	8292
11737	9571
11741	15022
11742	2209|3049|7191
11744	4314
11745	22181
11747	11104|13219
11751	96|2653|5778|5779|5780|6073|12217
11754	20479
11755	4129|4735|9688|13485|23222|23982
11759	6814|6982|16164
1176	965|16067|20592
11760	4430|20610
11767	22404
1177	4171|14137|14138|21859
11770	8287
11771	8976
11777	8863|20183|20184
1178	16689
11781	11050|17549
11783	15853
11788	23305|24567
1179	3685|10053
11791	2605
11792	12582
11793	1575|3434|21564
11795	22087
11798	2512
11799	21019
118	1676|4955|15596
1180	4871
11801	18919
11802	15294|23190
11804	24458
11807	18313|20687
11809	5313|9461
11811	11372
11812	20355|20401
11813	16001
11817	9026|9068
11818	12956|18596
11819	16464
11820	12241|12242|14069|19598
11823	2522
11825	22843
11826	8907|9255|9870
11827	970|4026|4482|6834|18708|18709|18710|18711|20850|23972
11828	10810|24208
1183	11624|11747
11830	2889|3066|4719|7792|7793|13556
11831	10752
11833	2421|2521|7431|17537
11835	3254|20555
11837	8835|8967|14827
11838	18429
11839	8279
1184	12190
11842	18932
11845	3439|23316
11847	11097|12337|12749|18133|20341
11849	1563|2176
1185	18194|23732
11850	22838
11852	24779
11853	16509
11854	12408
11855	1586|2296|9517
11859	15839
1186	8529
11862	10459|11421
11863	17141
11865	3778
11867	12024|12419
1187	8671|18910
11871	15333|16591
11872	9011|23734
11874	9278
11876	11177
11878	23554
11879	1779|8693
11880	6967
11881	22439
11882	11327|14736|14737|14738
11884	5515|17538
11887	17640|19375
11888	3471
11889	4981|12135|14443|19539|24784
1189	3733
11891	2850|3742
11892	16022
11898	12176|16240
11899	5257
119	4819|5156|22688
11900	23246
11902	2575
11904	9311|9617|10316|11306
