HGENE_ENSEMBL_ID	CONDITION_ID
ENSG00000066468	OMIM:101200|OMIM:101400|OMIM:101600|OMIM:123150|OMIM:123500|OMIM:123790|OMIM:149730|OMIM:207410
ENSG00000066629	OMIM:600348
ENSG00000066827	OMIM:608175
ENSG00000066926	OMIM:177000
ENSG00000067082	OMIM:176807
ENSG00000067182	OMIM:142680
ENSG00000067836	OMIM:226750
ENSG00000067842	OMIM:302500
ENSG00000068078	OMIM:100800|OMIM:109800|OMIM:114500|OMIM:146000|OMIM:149730|OMIM:162900|OMIM:182000|OMIM:187600|OMIM:187601|OMIM:273300|OMIM:602849|OMIM:603956
ENSG00000068305	OMIM:608320
ENSG00000068366	OMIM:300387
ENSG00000068438	OMIM:309549
ENSG00000068724	OMIM:243150
ENSG00000069011	OMIM:119800
ENSG00000069431	OMIM:239850|OMIM:608569
ENSG00000069696	OMIM:143465
ENSG00000069974	OMIM:607624
ENSG00000070061	OMIM:223900
ENSG00000070193	OMIM:149730|OMIM:180920
ENSG00000070748	OMIM:254210
ENSG00000070785	OMIM:603896
ENSG00000070814	OMIM:154500
ENSG00000070915	OMIM:263800
ENSG00000072121	OMIM:270700
ENSG00000072210	OMIM:270200
ENSG00000072506	OMIM:300220|OMIM:300438
ENSG00000072571	OMIM:114480
ENSG00000072694	OMIM:152700
ENSG00000072778	OMIM:201475
ENSG00000072786	OMIM:273300
ENSG00000072840	OMIM:193530|OMIM:225500
ENSG00000072864	OMIM:605013
ENSG00000073009	OMIM:300291|OMIM:308300
ENSG00000073282	OMIM:103285|OMIM:106260|OMIM:129400|OMIM:603543|OMIM:604292|OMIM:605289
ENSG00000073464	OMIM:300114
ENSG00000073578	OMIM:252011|OMIM:256000|OMIM:604287
ENSG00000073584	OMIM:607174
ENSG00000073734	OMIM:601847|OMIM:605479
ENSG00000073792	OMIM:125853
ENSG00000073861	OMIM:208550
ENSG00000073921	OMIM:601626
ENSG00000074181	OMIM:125310
ENSG00000074317	OMIM:127750
ENSG00000074319	OMIM:114480
ENSG00000074410	OMIM:143860
ENSG00000074582	OMIM:256000|OMIM:262000|OMIM:603358
ENSG00000074695	OMIM:227300
ENSG00000074803	OMIM:601678
ENSG00000075043	OMIM:121200
ENSG00000075239	OMIM:203750
ENSG00000075275	OMIM:182940
ENSG00000075624	OMIM:243310|OMIM:607371
ENSG00000075702	OMIM:604317
ENSG00000075785	OMIM:600882
ENSG00000075891	OMIM:120330
ENSG00000076003	OMIM:223100
ENSG00000076242	OMIM:114500|OMIM:120435|OMIM:158320|OMIM:276300
ENSG00000076248	OMIM:608106
ENSG00000076351	OMIM:229050
ENSG00000077238	OMIM:147050
ENSG00000077279	OMIM:300067
ENSG00000077498	OMIM:103470|OMIM:203100|OMIM:601800|OMIM:606952
ENSG00000077782	OMIM:101600|OMIM:123150|OMIM:147950|OMIM:166250|OMIM:190440
ENSG00000077943	OMIM:191830
ENSG00000078070	OMIM:210200
ENSG00000078403	OMIM:601626
ENSG00000079482	OMIM:300486
ENSG00000079616	OMIM:603546
ENSG00000079805	OMIM:160150|OMIM:606482
ENSG00000079841	OMIM:603649
ENSG00000080493	OMIM:604278
ENSG00000080503	OMIM:601358
ENSG00000080603	OMIM:136140
ENSG00000080815	OMIM:172700|OMIM:600274|OMIM:607822
ENSG00000080819	OMIM:121300
ENSG00000081014	OMIM:184450
ENSG00000081052	OMIM:141200|OMIM:203780
ENSG00000081087	OMIM:259720
ENSG00000081248	OMIM:170400|OMIM:188580|OMIM:601887
ENSG00000081277	OMIM:604536
ENSG00000081479	OMIM:222448
ENSG00000081923	OMIM:147480|OMIM:211600|OMIM:243300
ENSG00000083093	OMIM:114480
ENSG00000083123	OMIM:248600
ENSG00000083307	OMIM:608641
ENSG00000083444	OMIM:225400
ENSG00000083799	OMIM:132700|OMIM:601606|OMIM:605041
ENSG00000083937	OMIM:600795
ENSG00000084073	OMIM:275210|OMIM:608612
ENSG00000084110	OMIM:235800
ENSG00000084674	OMIM:143890|OMIM:144010
ENSG00000084754	OMIM:609015|OMIM:609016
ENSG00000085224	OMIM:300448|OMIM:301040|OMIM:309580
ENSG00000085840	OMIM:224690
ENSG00000085998	OMIM:253280|OMIM:268000
ENSG00000085999	OMIM:114480|OMIM:605027
ENSG00000086062	OMIM:607091
ENSG00000086848	OMIM:263210|OMIM:608776
ENSG00000087053	OMIM:601382
ENSG00000087086	OMIM:600886|OMIM:606159
ENSG00000087088	OMIM:114500
ENSG00000087116	OMIM:225410
ENSG00000087237	OMIM:143470
ENSG00000087245	OMIM:259600
ENSG00000087266	OMIM:118400
ENSG00000087274	OMIM:145500
ENSG00000087299	OMIM:236792
ENSG00000087460	OMIM:102200|OMIM:103580|OMIM:166350|OMIM:174800|OMIM:219080|OMIM:603233
ENSG00000087586	OMIM:114500
ENSG00000088035	OMIM:603147
ENSG00000088256	OMIM:145981
ENSG00000088305	OMIM:242860
ENSG00000088836	OMIM:217400|OMIM:217700
ENSG00000089127	OMIM:222100
ENSG00000089225	OMIM:142900
ENSG00000089280	OMIM:608030
ENSG00000089289	OMIM:300472
ENSG00000090054	OMIM:162400
ENSG00000090382	OMIM:105200
ENSG00000090402	OMIM:222900
ENSG00000090487	OMIM:248900
ENSG00000090534	OMIM:187950
ENSG00000090581	OMIM:252605
ENSG00000090659	OMIM:607948
ENSG00000090674	OMIM:252650
ENSG00000090776	OMIM:304110
ENSG00000090932	OMIM:277300
ENSG00000091010	OMIM:602459
ENSG00000091137	OMIM:274600|OMIM:600791
ENSG00000091138	OMIM:214700
ENSG00000091140	OMIM:246900
ENSG00000091262	OMIM:264800
ENSG00000091409	OMIM:226730
ENSG00000091482	OMIM:300066
ENSG00000091483	OMIM:150800|OMIM:606812
ENSG00000091513	OMIM:209300
ENSG00000091536	OMIM:600316
ENSG00000091592	OMIM:606579
ENSG00000091622	OMIM:600977
ENSG00000091831	OMIM:157300|OMIM:608446
ENSG00000092054	OMIM:160500|OMIM:181430|OMIM:192600|OMIM:255160|OMIM:608358
ENSG00000092067	OMIM:245480
ENSG00000092200	OMIM:608194
ENSG00000092295	OMIM:242300
ENSG00000092330	OMIM:268130
ENSG00000092439	OMIM:105500
ENSG00000092529	OMIM:253600
ENSG00000092607	OMIM:260660
ENSG00000092621	OMIM:256520|OMIM:601815
ENSG00000092758	OMIM:600969|OMIM:603932
ENSG00000092929	OMIM:608898
ENSG00000093010	OMIM:167870|OMIM:181500
ENSG00000093072	OMIM:182410
ENSG00000094914	OMIM:231550
ENSG00000095002	OMIM:114500|OMIM:120435|OMIM:158320|OMIM:276300
ENSG00000095777	OMIM:607101
ENSG00000095970	OMIM:221770
ENSG00000096060	OMIM:608516
ENSG00000096093	OMIM:254770|OMIM:607631
ENSG00000096696	OMIM:605676|OMIM:607450|OMIM:607655
ENSG00000096968	OMIM:133100|OMIM:254450|OMIM:263300|OMIM:601626
ENSG00000099377	OMIM:607765
ENSG00000099810	OMIM:112250
ENSG00000099956	OMIM:162091
ENSG00000100014	OMIM:145410|OMIM:600251
ENSG00000100033	OMIM:239500|OMIM:600850
ENSG00000100079	OMIM:608446
ENSG00000100150	OMIM:604364
ENSG00000100170	OMIM:606824
ENSG00000100225	OMIM:260300
ENSG00000100234	OMIM:136900
ENSG00000100243	OMIM:250800
ENSG00000100285	OMIM:105400
ENSG00000100288	OMIM:602541
ENSG00000100292	OMIM:606963
ENSG00000100299	OMIM:250100
ENSG00000100311	OMIM:607174|OMIM:607907
ENSG00000100345	OMIM:153640|OMIM:153650|OMIM:155100|OMIM:600208|OMIM:603622|OMIM:605249
ENSG00000100393	OMIM:114500
ENSG00000100416	OMIM:580000
ENSG00000100427	OMIM:604004
ENSG00000100473	OMIM:601369
ENSG00000100504	OMIM:232700
ENSG00000100526	OMIM:114550
ENSG00000100697	OMIM:138800|OMIM:180295|OMIM:601200
ENSG00000100714	OMIM:601634
ENSG00000100749	OMIM:607596
ENSG00000100815	OMIM:200600
ENSG00000100836	OMIM:164300
ENSG00000100902	OMIM:608446
ENSG00000100934	OMIM:607812
ENSG00000100983	OMIM:231900|OMIM:266130
ENSG00000100987	OMIM:148300
ENSG00000101017	OMIM:606843
ENSG00000101076	OMIM:125850|OMIM:125853
ENSG00000101115	OMIM:147750|OMIM:607323
ENSG00000101152	OMIM:162350
ENSG00000101200	OMIM:125700
ENSG00000101204	OMIM:188890|OMIM:600513
ENSG00000101247	OMIM:252010|OMIM:256000
ENSG00000101276	OMIM:211500|OMIM:211530
ENSG00000101282	OMIM:206800
ENSG00000101292	OMIM:244200
ENSG00000101306	OMIM:192600
ENSG00000101310	OMIM:224100
ENSG00000101311	OMIM:173650
ENSG00000101384	OMIM:118450|OMIM:187500
ENSG00000101421	OMIM:605387
ENSG00000101439	OMIM:105150
ENSG00000101596	OMIM:158901
ENSG00000101773	OMIM:251255|OMIM:606744
ENSG00000101825	OMIM:211980
ENSG00000101846	OMIM:308100
ENSG00000101850	OMIM:300500
ENSG00000101868	OMIM:301220
ENSG00000101871	OMIM:300000
ENSG00000101938	OMIM:309300
ENSG00000101981	OMIM:122700|OMIM:306900
ENSG00000101986	OMIM:300100
ENSG00000102001	OMIM:300071|OMIM:300476|OMIM:300600
ENSG00000102030	OMIM:309800
ENSG00000102076	OMIM:303700|OMIM:303900
ENSG00000102081	OMIM:311360
ENSG00000102103	OMIM:309500
ENSG00000102104	OMIM:312700
ENSG00000102119	OMIM:310300
ENSG00000102125	OMIM:302060
ENSG00000102145	OMIM:190685|OMIM:300367|OMIM:314050
ENSG00000102172	OMIM:309583
ENSG00000102174	OMIM:307800
ENSG00000102218	OMIM:312600
ENSG00000102245	OMIM:308230
ENSG00000102302	OMIM:305400
ENSG00000102312	OMIM:305600
ENSG00000102393	OMIM:301500
ENSG00000102468	OMIM:103780|OMIM:164230|OMIM:181500|OMIM:606788|OMIM:608516
ENSG00000102575	OMIM:607944
ENSG00000102683	OMIM:253700
ENSG00000102743	OMIM:238970
ENSG00000102805	OMIM:256731
ENSG00000102878	OMIM:116800
ENSG00000102893	OMIM:261750
ENSG00000102967	OMIM:263750
ENSG00000103005	OMIM:604173
ENSG00000103126	OMIM:114550|OMIM:607864
ENSG00000103150	OMIM:248360
ENSG00000103197	OMIM:606690
ENSG00000103227	OMIM:246650
ENSG00000103241	OMIM:265380
ENSG00000103249	OMIM:166600
ENSG00000103313	OMIM:134610|OMIM:249100
ENSG00000103335	OMIM:194380
ENSG00000103449	OMIM:107480
ENSG00000103489	OMIM:264800
ENSG00000103494	OMIM:213300|OMIM:216360
ENSG00000103522	OMIM:147050
ENSG00000103546	OMIM:604715
ENSG00000103591	OMIM:148600
ENSG00000103876	OMIM:276700
ENSG00000104044	OMIM:203200
ENSG00000104133	OMIM:602099|OMIM:604360
ENSG00000104213	OMIM:114500|OMIM:114550
ENSG00000104237	OMIM:180100
ENSG00000104267	OMIM:259730
ENSG00000104313	OMIM:113650|OMIM:166780|OMIM:602588
ENSG00000104320	OMIM:114480|OMIM:251260
ENSG00000104369	OMIM:607831
ENSG00000104381	OMIM:214400|OMIM:607706|OMIM:607831|OMIM:608340
ENSG00000104419	OMIM:601455
ENSG00000104447	OMIM:190350|OMIM:190351
ENSG00000104725	OMIM:607684|OMIM:607734
ENSG00000104728	OMIM:608236
ENSG00000104763	OMIM:159950|OMIM:228000
ENSG00000104826	OMIM:228300
ENSG00000104833	OMIM:128101
ENSG00000104884	OMIM:278730|OMIM:601675
ENSG00000104899	OMIM:261550
ENSG00000104918	OMIM:125853
ENSG00000104936	OMIM:160900
ENSG00000104973	OMIM:605589
ENSG00000105048	OMIM:605355
ENSG00000105146	OMIM:243060
ENSG00000105221	OMIM:125853|OMIM:240900
ENSG00000105227	OMIM:145900
ENSG00000105329	OMIM:131300|OMIM:219700
ENSG00000105357	OMIM:600652
ENSG00000105372	OMIM:105650
ENSG00000105379	OMIM:231680
ENSG00000105392	OMIM:120970|OMIM:268000
ENSG00000105409	OMIM:128235|OMIM:601338
ENSG00000105607	OMIM:231670
ENSG00000105618	OMIM:600138
ENSG00000105639	OMIM:600802
ENSG00000105641	OMIM:274400
ENSG00000105647	OMIM:603387
ENSG00000105664	OMIM:132400|OMIM:177170
ENSG00000105711	OMIM:604233
ENSG00000105722	OMIM:600775
ENSG00000105755	OMIM:602473
ENSG00000105880	OMIM:220600
ENSG00000105928	OMIM:600994
ENSG00000105929	OMIM:602722
ENSG00000105974	OMIM:606721
ENSG00000105976	OMIM:114550|OMIM:605074|OMIM:607278
ENSG00000105983	OMIM:135750|OMIM:174500|OMIM:186200|OMIM:188740|OMIM:200500
ENSG00000105991	OMIM:601536
ENSG00000105993	OMIM:603511
ENSG00000106031	OMIM:140000|OMIM:176305
ENSG00000106105	OMIM:600794|OMIM:601472
ENSG00000106211	OMIM:606595|OMIM:608634
